City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
175,Pangkalanbuun,-2.6833,111.6167,78.06,87,64,3.0,ID,broken clouds
176,Nome,64.5011,-165.4064,33.87,86,90,5.75,US,light snow
177,Avera,33.194,-82.5271,87.85,68,100,4.25,US,overcast clouds
178,Ahipara,-35.1667,173.1667,59.61,82,100,17.29,NZ,moderate rain
179,Ancud,-41.8697,-73.8203,49.23,73,80,2.15,CL,broken clouds
180,Klyuchi,52.2667,79.1667,52.59,51,12,6.53,RU,few clouds
181,Mahebourg,-20.4081,57.7,74.25,83,75,5.75,MU,broken clouds
182,Mandalgovi,45.7625,106.2708,69.8,25,100,17.29,MN,overcast clouds
183,Meulaboh,4.1363,96.1285,77.36,84,100,3.47,ID,overcast clouds
184,Chunhuhub,19.55,-88.6833,92.59,45,91,6.15,MX,overcast clouds
185,Pevek,69.7008,170.3133,40.1,95,100,8.3,RU,overcast clouds
186,Tiksi,71.6872,128.8694,32.34,82,100,1.3,RU,overcast clouds
187,Grand-Lahou,5.1367,-5.0242,83.89,72,87,10.94,CI,overcast clouds
188,Balkanabat,39.5108,54.3671,80.8,39,0,10.71,TM,clear sky
189,Galle,6.0367,80.217,80.19,84,90,12.59,LK,overcast clouds
190,Wanning,18.8003,110.3967,77.5,89,100,2.01,CN,overcast clouds
191,Bertoua,4.5833,13.6833,74.44,82,80,5.12,CM,broken clouds
192,Hangu,39.2489,117.7892,80.64,33,27,4.97,CN,light rain
193,Katsuura,35.1333,140.3,72.1,89,96,9.84,JP,overcast clouds
194,Kavaratti,10.5669,72.642,82.76,77,100,13.65,IN,overcast clouds
195,Inhambane,-23.865,35.3833,69.78,56,20,14.0,MZ,few clouds
196,Marzuq,14.4,46.4667,86.43,26,70,10.56,YE,broken clouds
197,Opuwo,-18.0607,13.84,73.56,17,0,10.02,NA,clear sky
198,Qingquan,30.4511,115.2559,70.16,67,0,2.89,CN,light rain
199,Cairns,-16.9167,145.7667,67.95,82,40,8.05,AU,scattered clouds
200,Te Anau,-45.4167,167.7167,39.13,91,24,1.83,NZ,few clouds
201,Geraldton,-28.7667,114.6,50.41,87,0,7.4,AU,clear sky
202,Vawkavysk,53.1561,24.4513,71.29,71,62,7.07,BY,broken clouds
203,Nanortalik,60.1432,-45.2371,45.97,65,99,11.79,GL,overcast clouds
204,Lulea,65.5842,22.1547,71.67,49,0,6.91,SE,clear sky
205,Quesnel,52.9999,-122.5029,54.1,66,90,3.44,CA,overcast clouds
206,Ulladulla,-35.35,150.4667,52.7,65,69,6.69,AU,broken clouds
207,Grabouw,-34.1515,19.0151,63.0,43,0,2.01,ZA,clear sky
208,Babati,-4.2167,35.75,64.56,63,94,3.56,TZ,overcast clouds
209,Wahiawa,21.5028,-158.0236,71.92,76,59,10.33,US,broken clouds
210,Shingu,33.7333,135.9833,67.17,87,100,5.64,JP,overcast clouds
211,Vestmannaeyjar,63.4427,-20.2734,47.39,100,90,23.02,IS,mist
212,Portland,45.5234,-122.6762,61.81,72,75,1.01,US,broken clouds
213,Bengkulu,-3.8004,102.2655,76.51,91,22,4.7,ID,few clouds
214,Marsh Harbour,26.5412,-77.0636,79.81,78,93,15.1,BS,overcast clouds
215,Makueni,-1.8041,37.6203,67.46,64,64,2.59,KE,broken clouds
216,Manado,1.487,124.8455,83.17,69,20,4.09,ID,few clouds
217,Luderitz,-26.6481,15.1594,69.46,42,0,8.39,NA,clear sky
218,Porto Santo,33.072,-16.3415,71.51,64,40,16.11,PT,scattered clouds
219,Souillac,-20.5167,57.5167,74.35,83,75,7.74,MU,broken clouds
220,Noumea,-22.2763,166.4572,73.99,99,100,14.72,NC,overcast clouds
221,Khanpur,28.6453,70.6567,93.4,38,19,16.89,PK,few clouds
222,Kruisfontein,-34.0033,24.7314,58.89,46,0,7.7,ZA,clear sky
223,Oranjestad,12.524,-70.027,87.75,66,75,24.16,AW,broken clouds
224,Vaitape,-16.5167,-151.75,80.83,73,99,8.39,PF,overcast clouds
225,Arraial Do Cabo,-22.9661,-42.0278,80.56,65,20,18.41,BR,few clouds
226,Marrakesh,31.6315,-8.0083,87.87,29,20,8.05,MA,few clouds
227,Sorland,67.667,12.6934,48.83,85,19,14.88,NO,few clouds
228,Mykhaylivka,47.2724,35.2224,68.27,70,99,6.93,UA,overcast clouds
229,Lewiston,44.1003,-70.2148,86.41,55,1,10.36,US,clear sky
230,Lasa,46.6166,10.7002,70.63,72,54,3.0,IT,light rain
231,Constitucion,-35.3333,-72.4167,56.48,54,61,9.51,CL,broken clouds
232,Fortuna,40.5982,-124.1573,65.48,64,1,1.99,US,clear sky
233,Hambantota,6.1241,81.1185,80.94,89,0,14.74,LK,clear sky
234,Touros,-5.1989,-35.4608,86.9,59,17,16.71,BR,few clouds
235,Havre-Saint-Pierre,50.2334,-63.5986,61.16,67,75,11.5,CA,broken clouds
236,Mogadishu,2.0371,45.3438,79.39,82,66,15.21,SO,broken clouds
237,Nanakuli,21.3906,-158.1547,75.15,73,1,13.33,US,clear sky
238,Romilly-Sur-Seine,48.5108,3.7263,64.78,85,99,5.28,FR,overcast clouds
239,Bronnoysund,65.4625,12.1997,64.4,68,2,10.36,NO,clear sky
240,Skjervoy,70.0311,20.9714,45.37,79,9,6.33,NO,clear sky
241,Saint-Francois,46.4154,3.9054,62.19,88,90,4.61,FR,overcast clouds
242,Kushiro,42.975,144.3747,56.12,79,53,17.58,JP,broken clouds
243,Quatre Cocos,-20.2078,57.7625,74.08,74,18,8.19,MU,few clouds
244,Virginia Beach,36.8529,-75.978,86.05,74,75,3.44,US,broken clouds
245,Gumla,23.05,84.55,82.24,59,32,0.72,IN,scattered clouds
246,Spisska Bela,49.1872,20.4595,66.22,82,85,3.38,SK,overcast clouds
247,Mattru,7.6244,-11.8332,82.74,80,98,4.25,SL,moderate rain
248,Lorengau,-2.0226,147.2712,80.55,80,68,4.23,PG,broken clouds
249,Poum,-20.2333,164.0167,73.85,80,100,18.86,NC,overcast clouds
250,Sao Filipe,14.8961,-24.4956,78.19,63,19,15.1,CV,few clouds
251,Klaksvik,62.2266,-6.589,52.72,91,54,12.46,FO,broken clouds
252,Belyy Yar,53.6039,91.3903,44.49,87,75,10.54,RU,light rain
253,Sinnamary,5.3833,-52.95,82.29,77,58,11.27,GF,moderate rain
254,Moscow,55.7522,37.6156,68.52,59,79,8.55,RU,broken clouds
255,Kawalu,-7.3817,108.2082,74.91,94,89,1.01,ID,overcast clouds
256,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,100,90,17.54,RU,light rain
257,Iqaluit,63.7506,-68.5145,33.53,93,75,8.01,CA,light snow
258,Sarata,46.0197,29.6657,70.34,53,92,3.04,UA,overcast clouds
259,Saint George,37.1041,-113.5841,95.47,18,3,1.99,US,clear sky
260,Diego De Almagro,-26.3667,-70.05,70.74,35,69,4.63,CL,broken clouds
261,Yadgir,16.7667,77.1333,87.17,53,95,6.44,IN,moderate rain
262,Synya,65.3718,58.0387,59.32,59,78,2.71,RU,broken clouds
263,Nhulunbuy,-12.2333,136.7667,74.01,78,53,9.22,AU,broken clouds
264,Vuktyl,63.8567,57.3094,67.89,45,81,7.65,RU,broken clouds
265,Chernukha,55.5974,43.7556,63.41,79,40,8.19,RU,scattered clouds
266,Saint-Denis,48.9167,2.3333,70.93,72,90,1.01,FR,overcast clouds
267,Fairbanks,64.8378,-147.7164,54.82,72,1,4.61,US,clear sky
268,Crixas,-14.5489,-49.9692,90.45,29,98,10.18,BR,overcast clouds
269,Assemini,39.2915,9.0015,79.09,67,0,1.99,IT,clear sky
270,Vao,-22.6667,167.4833,72.27,79,100,23.53,NC,overcast clouds
271,Lebu,-37.6167,-73.65,52.3,70,81,9.44,CL,broken clouds
272,Chimbote,-9.0853,-78.5783,68.83,75,68,9.22,PE,broken clouds
273,Maniitsoq,65.4167,-52.9,38.39,96,100,11.61,GL,overcast clouds
274,Nioro,13.35,-15.75,103.41,23,69,8.5,GM,broken clouds
275,Amga,60.8953,131.9608,57.11,60,89,3.04,RU,overcast clouds
276,Katobu,-4.9408,122.5276,75.4,86,40,5.39,ID,scattered clouds
277,Henties Bay,-22.116,14.2845,73.45,39,0,6.82,NA,clear sky
278,Torres,-29.3353,-49.7269,80.62,55,1,6.51,BR,clear sky
279,Balikpapan,-1.2675,116.8289,77.86,87,25,3.85,ID,scattered clouds
280,North Battleford,52.7834,-108.2847,64.49,77,1,13.8,CA,clear sky
281,Nantucket,41.2835,-70.0995,77.34,94,75,11.5,US,mist
282,Abonnema,4.7084,6.7931,86.29,83,100,2.15,NG,overcast clouds
283,Egvekinot,66.3167,-179.1667,31.84,84,97,1.23,RU,overcast clouds
284,Kivertsi,50.8343,25.4582,66.52,75,96,6.42,UA,overcast clouds
285,Deputatskiy,69.3,139.9,49.17,82,100,4.65,RU,overcast clouds
286,Ambanja,-13.6833,48.45,78.73,91,59,2.3,MG,moderate rain
287,Tabou,4.423,-7.3528,82.0,78,82,10.47,CI,light rain
288,Denpasar,-8.65,115.2167,82.06,89,40,6.02,ID,scattered clouds
289,Serrinha,-11.6642,-39.0075,86.49,38,43,12.19,BR,scattered clouds
290,Humboldt,40.6665,-123.9178,56.68,47,90,6.89,US,overcast clouds
291,Muli,2.9167,73.5667,83.48,77,87,14.14,MV,overcast clouds
292,Pasan,22.85,82.2,86.86,43,29,4.09,IN,scattered clouds
293,Kadhan,24.481,68.9859,87.04,63,0,18.37,PK,clear sky
294,Itarema,-2.9248,-39.9167,88.03,49,0,12.66,BR,clear sky
295,Conde,-7.2597,-34.9075,83.66,65,40,13.85,BR,scattered clouds
296,Jipapad,12.2861,125.2353,75.76,96,100,2.53,PH,overcast clouds
297,Ambam,2.3833,11.2833,86.16,88,69,2.46,CM,light rain
298,Camacha,33.0833,-16.3333,68.76,64,40,16.11,PT,scattered clouds
299,Ketchikan,55.3422,-131.6461,48.67,93,90,12.66,US,moderate rain
300,Alofi,-19.0595,-169.9187,71.49,73,78,8.05,NU,broken clouds
301,Atambua,-9.1061,124.8925,71.26,88,38,4.85,ID,scattered clouds
302,Dublin,37.7021,-121.9358,68.79,68,1,5.99,US,clear sky
303,Kavieng,-2.5744,150.7967,81.32,81,83,8.97,PG,moderate rain
304,Teodoro Sampaio,-22.5325,-52.1675,87.28,27,0,10.83,BR,clear sky
305,La Orilla,17.9833,-102.2333,87.33,57,73,5.1,MX,broken clouds
306,Kinshasa,-4.3246,15.3215,89.98,51,43,2.75,CD,scattered clouds
307,Comodoro Rivadavia,-45.8667,-67.5,48.06,53,0,13.8,AR,clear sky
308,Joshimath,30.5667,79.5667,64.83,69,84,3.98,IN,broken clouds
309,Goya,-29.14,-59.2626,73.51,57,96,7.47,AR,overcast clouds
310,Novikovo,51.1537,37.8879,56.66,93,99,5.93,RU,light rain
311,Puri,19.8,85.85,90.37,80,3,19.66,IN,clear sky
312,Puerto Escondido,15.85,-97.0667,86.27,65,100,2.64,MX,overcast clouds
313,Hecun,36.5333,114.1111,76.44,17,0,5.39,CN,light rain
314,Aranos,-24.1333,19.1167,61.63,28,0,10.89,NA,clear sky
315,Isangel,-19.55,169.2667,74.62,82,82,6.11,VU,light rain
316,Futtsu,35.3053,139.8186,73.27,89,96,6.69,JP,overcast clouds
317,Cockburn Town,21.4612,-71.1419,79.65,78,7,21.3,TC,clear sky
318,Aniva,46.7144,142.5294,48.31,90,11,11.86,RU,few clouds
319,Codajas,-3.8367,-62.0569,90.0,54,57,5.14,BR,broken clouds
320,Hami,42.8,93.45,77.09,32,100,4.81,CN,overcast clouds
321,Trairi,-3.2778,-39.2689,86.97,49,0,11.61,BR,clear sky
322,Port-Cartier,50.0334,-66.8654,48.92,98,100,1.74,CA,overcast clouds
323,Orebro,59.2741,15.2066,78.98,27,65,6.69,SE,broken clouds
324,Gamba,-2.65,10.0,80.24,77,61,8.79,GA,broken clouds
325,Ndende,-2.4008,11.3581,84.09,78,92,2.62,GA,light rain
326,Whitianga,-36.8333,175.7,60.03,85,100,11.7,NZ,moderate rain
327,Aklavik,68.2191,-135.0107,34.63,93,90,10.36,CA,light intensity drizzle
328,Conceicao Da Barra,-18.5933,-39.7322,77.49,80,38,7.05,BR,scattered clouds
329,Lashio,22.9333,97.75,69.69,93,53,0.87,MM,broken clouds
330,Saldanha,-33.0117,17.9442,75.25,50,0,9.8,ZA,clear sky
331,Pemba,-12.974,40.5178,81.3,65,40,8.01,MZ,scattered clouds
332,Solvychegodsk,61.3305,46.9156,74.46,48,53,3.6,RU,broken clouds
333,Paita,-5.0892,-81.1144,72.16,70,13,9.62,PE,few clouds
334,Mayo,38.8876,-76.5119,90.5,52,30,3.0,US,scattered clouds
335,Buchanan,5.8808,-10.0467,87.76,72,72,7.43,LR,broken clouds
336,Key West,24.5557,-81.7826,86.0,74,40,13.8,US,scattered clouds
337,Srednekolymsk,67.45,153.6833,59.29,41,5,13.27,RU,clear sky
338,Korla,41.7597,86.1469,81.95,20,42,8.28,CN,scattered clouds
339,Yenagoa,4.9247,6.2642,76.51,93,100,3.56,NG,overcast clouds
340,Rundu,-17.9333,19.7667,65.64,25,0,6.85,NA,clear sky
341,Koutsouras,35.0339,25.9469,72.5,52,2,17.83,GR,clear sky
342,Pisco,-13.7,-76.2167,64.45,72,47,8.05,PE,scattered clouds
343,Mabaruma,8.2,-59.7833,80.78,91,58,6.31,GY,broken clouds
344,Gigmoto,13.7796,124.39,81.93,81,77,5.75,PH,broken clouds
345,Zephyrhills,28.2336,-82.1812,89.71,69,40,8.05,US,scattered clouds
346,Kahului,20.8947,-156.47,76.84,74,1,12.66,US,clear sky
347,Praia Da Vitoria,38.7333,-27.0667,70.75,94,75,3.58,PT,broken clouds
