City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Jipapad,PH,75.76,overcast clouds,12.2861,125.2353,
297,Ambam,CM,86.16,light rain,2.3833,11.2833,Hôtel Madeleine
303,Kavieng,PG,81.32,moderate rain,-2.5744,150.7967,Nusa Island Retreat
304,Teodoro Sampaio,BR,87.28,clear sky,-22.5325,-52.1675,MINI HOTEL
305,La Orilla,MX,87.33,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
306,Kinshasa,CD,89.98,scattered clouds,-4.3246,15.3215,Flat Hotel Alhdeef
312,Puerto Escondido,MX,86.27,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
313,Hecun,CN,76.44,light rain,36.5333,114.1111,Yijia Hotel
317,Cockburn Town,TC,79.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
319,Codajas,BR,90.0,broken clouds,-3.8367,-62.0569,Hotel Tamires
320,Hami,CN,77.09,overcast clouds,42.8,93.45,Laoyutang Resort
321,Trairi,BR,86.97,clear sky,-3.2778,-39.2689,janelas do mar
323,Orebro,SE,78.98,broken clouds,59.2741,15.2066,Clarion Hotel Örebro
324,Gamba,GA,80.24,broken clouds,-2.65,10.0,
325,Ndende,GA,84.09,light rain,-2.4008,11.3581,
328,Conceicao Da Barra,BR,77.49,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
330,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
331,Pemba,MZ,81.3,scattered clouds,-12.974,40.5178,Guesthouse Samotina
335,Buchanan,LR,87.76,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
336,Key West,US,86.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
338,Korla,CN,81.95,scattered clouds,41.7597,86.1469,Gulisitan Hotel
339,Yenagoa,NG,76.51,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
343,Mabaruma,GY,80.78,broken clouds,8.2,-59.7833,Monty Brooms Guest House
344,Gigmoto,PH,81.93,broken clouds,13.7796,124.39,Cj's Travellers Inn
345,Zephyrhills,US,89.71,scattered clouds,28.2336,-82.1812,Roadstar Hotel Zephyrhills
346,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
349,Jalingo,NG,88.03,light rain,8.8833,11.3667,Debright Motel
351,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
353,Namatanai,PG,79.3,light rain,-3.6667,152.4333,Seagulls Inn Namatani
356,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
357,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
361,Rincon,US,88.25,broken clouds,32.296,-81.2354,Days Inn Rincon
362,Les Cayes,HT,85.6,scattered clouds,18.2,-73.75,Villa Orphee
363,Faanui,PF,80.83,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
365,Pagudpud,PH,82.36,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
367,Tura,IN,75.49,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
369,Salinopolis,BR,85.48,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
371,Bowmore,US,84.27,clear sky,34.9421,-79.3031,
372,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,Timotel Hotel
377,Dhidhdhoo,MV,82.9,overcast clouds,6.8833,73.1,Dhidhoo beach
378,Vila Velha,BR,80.96,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
379,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Hotel Central
382,Molln,DE,78.48,overcast clouds,53.6333,10.6833,Seehotel Schwanenhof
383,Muros,ES,80.69,clear sky,42.7762,-9.0603,Apartment Av. Castelao
389,Shelby,US,84.02,overcast clouds,35.2001,-89.8668,Days Inn by Wyndham Memphis - I40 and Sycamore View
391,Wadena,US,87.84,clear sky,46.4425,-95.1361,Eastwood Inn of Wadena
392,Auki,SB,76.53,overcast clouds,-8.7676,160.7034,Auki Motel
393,Buala,SB,79.29,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
394,Gushikawa,JP,78.8,broken clouds,26.3544,127.8686,Kirari Guest House
395,Cartagena Del Chaira,CO,85.91,scattered clouds,1.3349,-74.8429,HOTEL LA ROCA
400,Roma,US,84.85,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
401,Bereda,ES,76.41,clear sky,43.2686,-7.5406,Pazo de Verdes
405,Otradnoye,RU,75.56,broken clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
406,Lastoursville,GA,79.41,light rain,-0.8143,12.7287,Auberge Bon Coin 02
408,Saint Anthony,US,88.93,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
411,Lebanon,US,84.9,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
412,North Platte,US,81.32,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
414,Mumford,GH,82.27,overcast clouds,5.2618,-0.759,Spanish Villa
416,Weiser,US,77.02,scattered clouds,44.251000000000005,-116.9693,The Colonial Motel
417,Aksu,CN,83.34,few clouds,41.1231,80.2644,Pudong Holiday Hotel
418,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
420,Burla,IN,84.94,moderate rain,21.5,83.8667,Gents Hostel 2(ଭୃଗୁ)
421,Palmer,US,87.48,few clouds,42.1584,-72.3287,Wedgewood Motel
